,0
num__EXT_SOURCES_MEAN,0.4430901205403248
num__CREDIT_TERM,0.1466459592551697
num__PREV_CREDIT_APPLICATION_RATIO,0.11690475007725884
num__GOODS_CREDIT_RATIO,0.1015724269067067
num__EXT_SOURCE_3,0.08514090589428691
num__AMT_ANNUITY,0.076897012119635
num__EXT_SOURCE_2,0.07484051486460973
cat__NAME_EDUCATION_TYPE_Higher education,0.07279512857467157
num__BUREAU_DEBT_CREDIT_RATIO,0.07133185248357708
num__AMT_GOODS_PRICE,0.0710797284087188
num__EXT_SOURCES_MIN,0.0701035348513211
cat__CODE_GENDER_M,0.06826221340800222
cat__FLAG_OWN_CAR_N,0.06652463454568949
num__PREV_REFUSED_RATE,0.06612261524256753
cat__NAME_FAMILY_STATUS_Married,0.062197590800879984
